method_id,target,entry_kind,reason,file,start_line,confidence
95bdcca5d5decf667d40641c9fa89ce1694a7189,prod,main,entry_file:backend/app/main.py,backend/app/main.py,37,MEDIUM
e3fa58984618d3d819053ba726f295c7dc6726f3,test,test,test_function,backend/tests/test_analytics_api.py,11,MEDIUM
7d473f4398def0eca04bd4297d3f6d7a367702c9,test,test,test_function,backend/tests/test_analytics_api.py,18,MEDIUM
ee7f7c63afe9d381f3ca4e590ef9a5256562c9c7,test,test,test_function,backend/tests/test_analytics_api.py,78,MEDIUM
f1976196b57c99d94c9f6481ef6d3611c082eba4,test,test,test_function,backend/tests/test_analytics_api.py,145,MEDIUM
5d7d45c1da8c8ab8688269764e2bd61054f73162,test,test,test_function,backend/tests/test_analytics_api.py,204,MEDIUM
f815b7f826ad923fda6c030a41448f79531bbba2,test,test,test_function,backend/tests/test_analytics_api.py,238,MEDIUM
d3347ffc944aedde70cfa0fe1ac274ecd32c834d,test,test,test_function,backend/tests/test_analytics_api.py,284,MEDIUM
b2da54d02f0bb8fa42d87d0ca547aa00172d9ea0,test,test,test_function,backend/tests/test_analytics_api.py,336,MEDIUM
54a63d849ca4133a5321fdf1b2ddbf91dd881689,test,test,test_function,backend/tests/test_analytics_api.py,403,MEDIUM
e2eb223cd6f68c67a33b5330752038a2cd04d3c0,test,test,test_function,backend/tests/test_analytics_dora.py,10,MEDIUM
d96a084d60b5f2b9f8f631cb6f24f550011d1561,test,test,test_function,backend/tests/test_analytics_dora.py,18,MEDIUM
73675c52e52515e0491657682f6603b9a3cbc464,test,test,test_function,backend/tests/test_analytics_dora.py,30,MEDIUM
1af0f6c2738d94519429a4f8fc6de6d36329b865,test,test,test_function,backend/tests/test_analytics_dora.py,36,MEDIUM
d3f8fd71bc5a3fec4eacee502d742871472842b6,test,test,test_function,backend/tests/test_analytics_dora.py,49,MEDIUM
70afee9708bb0dd65afe7bb2764ba488991f18cf,test,test,test_function,backend/tests/test_analytics_more.py,11,MEDIUM
491a2c13b0dfe86a084300c056e2ecce9f0b48f4,test,test,test_function,backend/tests/test_analytics_more.py,18,MEDIUM
6fa868593e8001b6bf13576b3978506593eae8df,test,test,test_function,backend/tests/test_analytics_more.py,81,MEDIUM
8f9346b9eda9ad21c5cb66c0f726cf5e33b7f4ce,test,test,test_function,backend/tests/test_analytics_team_health.py,20,MEDIUM
9855a0a5a3d3d3279f3fde34bd686941dffaaea0,test,test,test_function,backend/tests/test_analytics_team_health.py,31,MEDIUM
616277552314adb78d75be8a00512ea5a0e3591d,test,test,test_function,backend/tests/test_analytics_team_health.py,87,MEDIUM
a55a30b6b351e98e3e1392022de8bf9fe5f68262,test,test,test_function,backend/tests/test_bitbucket_integration.py,35,MEDIUM
5122456d9684e69f82ffc38c87d440758eb2e26c,test,test,test_function,backend/tests/test_bitbucket_integration.py,41,MEDIUM
849b41e645f263199b67a545fec9670e18c26549,test,test,test_function,backend/tests/test_bitbucket_integration.py,47,MEDIUM
54178507f7dd86a8abeec44378da3a547d59f513,test,test,test_function,backend/tests/test_bitbucket_integration.py,52,MEDIUM
33b2de8531186af0fddcac9a630dc28f01444244,test,test,test_function,backend/tests/test_bitbucket_integration.py,61,MEDIUM
0969703b8fdd65a930037405b2c6dc7ef0cb7c48,test,test,test_function,backend/tests/test_bitbucket_integration.py,75,MEDIUM
4ab2bf1fc1183bc5ee704ad5ce923dadfff41d7b,test,test,test_function,backend/tests/test_bitbucket_integration.py,86,MEDIUM
70f599b17ac76971f7bbf9c4ac3dbfa1db83311a,test,test,test_function,backend/tests/test_bitbucket_integration.py,102,MEDIUM
c017bc76e672a36a5331c42ecd3ecb284163558e,test,test,test_function,backend/tests/test_bitbucket_integration.py,130,MEDIUM
f3a320a0743ece5376e65157a601f0b12a658012,test,test,test_function,backend/tests/test_bitbucket_integration.py,151,MEDIUM
e1f52841a9ac627c63682a8e512b08e73991d21b,test,test,test_function,backend/tests/test_bitbucket_integration.py,158,MEDIUM
0e43c6ffd1558be9d03c2a83d722f6e15d8366c5,test,test,test_function,backend/tests/test_bitbucket_integration.py,188,MEDIUM
dd25241b0e841860fd2f1c8946462b0da045329d,test,test,test_function,backend/tests/test_bitbucket_integration.py,221,MEDIUM
b63497de1dcb6d7ae909bb9dfc90b5ed087291bb,test,test,test_function,backend/tests/test_bitbucket_integration.py,226,MEDIUM
a232a3995367b29ab9127ab7685a88e34aad1a7b,test,test,test_function,backend/tests/test_bitbucket_integration.py,240,MEDIUM
da1590cc180cb7e9a0afea9618fdb47d06b12968,test,test,test_function,backend/tests/test_bitbucket_integration.py,297,MEDIUM
8275baca4df4edb40eba4bc24eafb8a79a686634,test,test,test_function,backend/tests/test_bitbucket_integration.py,354,MEDIUM
fae460013ad4a884469ca7277c3ccccd51469df1,test,test,test_function,backend/tests/test_bitbucket_integration.py,365,MEDIUM
52ff8351ae381db61e41d74abebaf04047082f43,test,test,test_function,backend/tests/test_bitbucket_integration.py,383,MEDIUM
d3fcec7edb1e63aee76b170a41922e1865eb2059,test,test,test_function,backend/tests/test_crypto.py,10,MEDIUM
2fc66949b28f396c0c8ff46bdabe0306d15669c8,test,test,test_function,backend/tests/test_crypto.py,18,MEDIUM
7b76e82f4a5a66030ea53096e7f51db625ef13eb,test,test,test_function,backend/tests/test_crypto.py,28,MEDIUM
d13c6945872773fc76b5b8386d5897fe71693695,test,test,test_function,backend/tests/test_git_endpoints.py,18,MEDIUM
25d58bd1f24b164e533bda1bd1f5ec242088560d,test,test,test_function,backend/tests/test_git_endpoints.py,34,MEDIUM
f5d49ea84e5f4435661339bb22d4a494cc6b285f,test,test,test_function,backend/tests/test_git_endpoints.py,40,MEDIUM
7f9b9ae84c2e9b226147c2bd1508d5df9382b317,test,test,test_function,backend/tests/test_git_endpoints.py,49,MEDIUM
30ea896c75d9f5272266f6a90ab91b6912dfdf19,test,test,test_function,backend/tests/test_git_endpoints.py,57,MEDIUM
bcc6e40c621b65305c3f1ca51bfd135934bce479,test,test,test_function,backend/tests/test_git_endpoints.py,116,MEDIUM
40e2703fb810d5c1f82024992a819e27fc858c9b,test,test,test_function,backend/tests/test_git_endpoints.py,160,MEDIUM
13a88e03845b9befebcd2d846a51893f7ad5ae19,test,test,test_function,backend/tests/test_git_endpoints.py,201,MEDIUM
1c1b757ccd61610da62a1e90fec39b6aa94aef81,test,test,test_function,backend/tests/test_git_endpoints.py,228,MEDIUM
