method_id,kind,name,signature,file,start_line,end_line,loc_total,loc_nonempty,type_id,target,language,confidence
113d167ec0a82a35a608cce3699ebb0aedb30f7e,function,run_migrations_offline,def run_migrations_offline() -> None:,backend/alembic/env.py,26,37,12,11,,prod,Python,HIGH
2d533cbc613555ba1a5aef4275809f02716d5191,function,do_run_migrations,def do_run_migrations(connection:,backend/alembic/env.py,40,44,5,4,,prod,Python,HIGH
df9dc919a457f7c3e6d91303c7a19d482ed8959f,function,run_async_migrations,async def run_async_migrations() -> None:,backend/alembic/env.py,47,58,12,10,,prod,Python,HIGH
67ff3ff06740cad31ad9314c6061b85a48d8babc,function,run_migrations_online,def run_migrations_online() -> None:,backend/alembic/env.py,61,63,3,3,,prod,Python,HIGH
9381e066235165b5a3614a075517bb8b27f067ae,function,_table_exists,def _table_exists(table_name:,backend/alembic/versions/0001_iter1_extensions.py,19,23,5,5,,prod,Python,HIGH
643230628b3ec525314cc136cc9af47a7ec29a5d,function,_ensure_columns,def _ensure_columns(table_name:,backend/alembic/versions/0001_iter1_extensions.py,26,41,16,14,,prod,Python,HIGH
e6a8676006d227ec40c5d9a58c9834285dadf712,function,upgrade,def upgrade() -> None:,backend/alembic/versions/0001_iter1_extensions.py,44,62,19,18,,prod,Python,HIGH
90eae11e6b018f1ddb963c088b366644ca0ff2c6,function,downgrade,def downgrade() -> None:,backend/alembic/versions/0001_iter1_extensions.py,65,75,11,10,,prod,Python,HIGH
4cd3eae97d1911c6ee343794dd9a81cdb29a609a,function,downgrade,def downgrade():,backend/alembic/versions/005_add_jira_field_mappings.py,126,171,46,41,,prod,Python,HIGH
9e49c6753760c38af974a6630ec385145a4a0d7b,function,_table_exists,def _table_exists(table_name:,backend/alembic/versions/005_add_jira_field_mappings.py,20,23,4,4,,prod,Python,HIGH
d463378150331f33063643fa3b6751a109c2228c,function,_ensure_columns,def _ensure_columns(table_name:,backend/alembic/versions/005_add_jira_field_mappings.py,26,39,14,13,,prod,Python,HIGH
c3c3fc98963eb72cdb8772bbd444b365fd624654,function,_ensure_index,def _ensure_index(table_name:,backend/alembic/versions/005_add_jira_field_mappings.py,42,48,7,7,,prod,Python,HIGH
4ddbad1f92f43efe74d361b19ffffd208dbd4c89,function,_ensure_drop_index,def _ensure_drop_index(table_name:,backend/alembic/versions/005_add_jira_field_mappings.py,51,56,6,6,,prod,Python,HIGH
fc35010ad2b0a3f1b638c4cd8be4870403f568f8,function,upgrade,def upgrade():,backend/alembic/versions/005_add_jira_field_mappings.py,59,123,65,61,,prod,Python,HIGH
be6348b0fa0ea5a685f933f26e494d0012fa6445,function,upgrade,def upgrade():,backend/alembic/versions/006_add_pr_indexes.py,14,17,4,4,,prod,Python,HIGH
79a0b59fc8d95b7e0d28bb4ed846fe11afa7ef98,function,downgrade,def downgrade():,backend/alembic/versions/006_add_pr_indexes.py,20,23,4,4,,prod,Python,HIGH
6bc24dfd6b9657c03a0b29ccff0eef63eeb471df,function,_column_exists,def _column_exists(table_name:,backend/alembic/versions/007_add_sprint_wip_limit.py,16,19,4,4,,prod,Python,HIGH
943c737fda2e562942a2500e29a56ff26eecd8bf,function,upgrade,def upgrade():,backend/alembic/versions/007_add_sprint_wip_limit.py,22,25,4,4,,prod,Python,HIGH
51d654c39d2244cefe91b1d53de10493442ed10e,function,downgrade,def downgrade():,backend/alembic/versions/007_add_sprint_wip_limit.py,28,31,4,4,,prod,Python,HIGH
3697654ab034b57a2e15e5d13fee23e7b04f2887,function,_table_exists,def _table_exists(table_name:,backend/alembic/versions/008_add_business_value_audit.py,17,20,4,4,,prod,Python,HIGH
69cffce9e7cba54aa2022c73e0f1a1fc5ad7eac3,function,_ensure_index,def _ensure_index(table_name:,backend/alembic/versions/008_add_business_value_audit.py,23,29,7,7,,prod,Python,HIGH
dfdb85832fa74dda6eeca54a9d47a932e3641337,function,_drop_index_if_exists,def _drop_index_if_exists(table_name:,backend/alembic/versions/008_add_business_value_audit.py,32,37,6,6,,prod,Python,HIGH
d8e71592eaa6f6acf8c77841ebe6594f5e51de65,function,upgrade,def upgrade():,backend/alembic/versions/008_add_business_value_audit.py,40,58,19,19,,prod,Python,HIGH
4acfa36d97118929878bc11515807ea879c9f625,function,downgrade,def downgrade():,backend/alembic/versions/008_add_business_value_audit.py,61,64,4,4,,prod,Python,HIGH
5add053c0930fd6d337a1d20f6cc34f603960dac,function,upgrade,def upgrade():,backend/alembic/versions/009_add_task_indexes.py,16,18,3,3,,prod,Python,HIGH
b461edb63627d47be5c0554a690ee2360829d4ae,function,downgrade,def downgrade():,backend/alembic/versions/009_add_task_indexes.py,21,23,3,3,,prod,Python,HIGH
ab31f08a8eefce3a676429567807a1e2eeb510df,function,_column_exists,def _column_exists(table_name:,backend/alembic/versions/010_add_performance_indexes.py,14,19,6,6,,prod,Python,HIGH
617d021f9be42583af084e6cbcf973e8aa818cff,function,_table_exists,def _table_exists(table_name:,backend/alembic/versions/010_add_performance_indexes.py,22,26,5,5,,prod,Python,HIGH
1183dc0487cb53f3cc3e5b00cbaec433b9509817,function,upgrade,def upgrade() -> None:,backend/alembic/versions/010_add_performance_indexes.py,49,57,9,9,,prod,Python,HIGH
a6191ca51742ed1989e85b23689170ed8ffabe1d,function,downgrade,def downgrade() -> None:,backend/alembic/versions/010_add_performance_indexes.py,60,63,4,4,,prod,Python,HIGH
1169f12b49fe3b422c3f50d850b568ccf4e23ada,function,_table_exists,def _table_exists(table_name:,backend/alembic/versions/011_add_traceability_tables.py,19,22,4,4,,prod,Python,HIGH
e6589546be23740f43a96755e2965712091ace20,function,upgrade,def upgrade() -> None:,backend/alembic/versions/011_add_traceability_tables.py,25,96,72,69,,prod,Python,HIGH
2d348eaaa2fc149653926e9009daac354fed7834,function,downgrade,def downgrade() -> None:,backend/alembic/versions/011_add_traceability_tables.py,99,118,20,17,,prod,Python,HIGH
865252dade770bd0ddde4d2a21ba5dac2754437c,function,upgrade,def upgrade() -> None:,backend/alembic/versions/012_add_sprint_indexes.py,19,53,35,31,,prod,Python,HIGH
2232efe5beb1c5031614c0a70d5ef39ee60054da,function,downgrade,def downgrade() -> None:,backend/alembic/versions/012_add_sprint_indexes.py,56,62,7,6,,prod,Python,HIGH
351d70bdbb742b10ca5dcc39c93f6c75a31875eb,function,upgrade,def upgrade() -> None:,backend/alembic/versions/013_optimize_tasks_query_indexes.py,17,77,61,53,,prod,Python,HIGH
e9f4c1dfc10f0a77cfbeac474e9e526899d37957,function,downgrade,def downgrade() -> None:,backend/alembic/versions/013_optimize_tasks_query_indexes.py,80,94,15,13,,prod,Python,HIGH
78ee50ef01323a58648e18def2b5dd1ffb24d445,function,upgrade,def upgrade() -> None:,backend/alembic/versions/014_create_integration_settings_table.py,17,34,18,17,,prod,Python,HIGH
71ff9d2e2251397233f2ae3790ec72d4b904b899,function,downgrade,def downgrade() -> None:,backend/alembic/versions/014_create_integration_settings_table.py,37,40,4,4,,prod,Python,HIGH
5524548c29226ff3cf1257f87f18a3c4af2e83b3,function,_table_exists,def _table_exists(table_name:,backend/alembic/versions/014_create_integration_settings_table.py,43,46,4,4,,prod,Python,HIGH
b8347b4619add0c906076b8c26709de09338473b,function,_ensure_index,def _ensure_index(table_name:,backend/alembic/versions/014_create_integration_settings_table.py,49,54,6,6,,prod,Python,HIGH
e8f40d0f483156b37e0aedaf9dca9dcc45bc9d59,function,_table_exists,def _table_exists(table_name:,backend/alembic/versions/015_add_project_repositories.py,19,23,5,5,,prod,Python,HIGH
26b7b59d6bf9bc69f328b23fdc0637fcb0218c25,function,upgrade,def upgrade():,backend/alembic/versions/015_add_project_repositories.py,26,47,22,20,,prod,Python,HIGH
1453768873d3fa3dfed28be44b675ca9f9674318,function,downgrade,def downgrade():,backend/alembic/versions/015_add_project_repositories.py,50,58,9,8,,prod,Python,HIGH
e5ab74dd8e41dadd106dc94f14245de16cb7603b,function,upgrade,def upgrade() -> None:,backend/alembic/versions/016_add_foreign_key_indexes.py,19,27,9,8,,prod,Python,HIGH
baced911ae86294989ae0c7067c718463fa8f6e1,function,downgrade,def downgrade() -> None:,backend/alembic/versions/016_add_foreign_key_indexes.py,30,32,3,3,,prod,Python,HIGH
00f40ebd8eb3af26b854ac828cb7b7570426f7cf,function,downgrade,def downgrade() -> None:,backend/alembic/versions/017_add_rbac_tables.py,154,161,8,8,,prod,Python,HIGH
b5172eaf9d591e577e3761a55258f9477d3e6abd,function,_table_exists,def _table_exists(table_name:,backend/alembic/versions/017_add_rbac_tables.py,31,35,5,5,,prod,Python,HIGH
eb70ca0199d4c5bde90b4e0bf8c935c4b72bddf6,function,upgrade,def upgrade() -> None:,backend/alembic/versions/017_add_rbac_tables.py,38,151,114,105,,prod,Python,HIGH
62bf9293779bfaa322a98af91a110062dfccef87,function,_table_exists,def _table_exists(table_name:,backend/alembic/versions/018_add_traceability_rules.py,19,23,5,5,,prod,Python,HIGH
e64fc2074e44995ae8e773865cf8893158d876db,function,_index_exists,def _index_exists(table_name:,backend/alembic/versions/018_add_traceability_rules.py,26,31,6,6,,prod,Python,HIGH
74a5cbf28f99ab99b48e082324b51a3b917f9519,function,_ensure_index,def _ensure_index(table_name:,backend/alembic/versions/018_add_traceability_rules.py,34,37,4,4,,prod,Python,HIGH
20157637ff8470503f02dc9519e1e3f24676af11,function,upgrade,def upgrade():,backend/alembic/versions/018_add_traceability_rules.py,40,96,57,54,,prod,Python,HIGH
af804e725699203ad423334732f13bb46967b474,function,downgrade,def downgrade():,backend/alembic/versions/018_add_traceability_rules.py,99,112,14,13,,prod,Python,HIGH
0729bc749b1af5a289ddc1406a05c8bfddac5f2e,function,downgrade,def downgrade():,backend/alembic/versions/019_add_capacity_health_cfd_tables.py,142,164,23,21,,prod,Python,HIGH
785fbe285e8f352ef1b82b27d87df5dff9b8bd53,function,_table_exists,def _table_exists(table_name:,backend/alembic/versions/019_add_capacity_health_cfd_tables.py,23,27,5,5,,prod,Python,HIGH
