type_id,kind,name,file,start_line,end_line,loc_total,loc_nonempty,language,target
ed90ea1630647ecb99edd0ade6d6302c47d23664,class,OAuth2AuthURL,backend/app/api/api_v1/endpoints/auth.py,125,128,4,4,Python,prod
8d0cc4bb78091c0fc40a0832838af97549b0f571,class,OAuth2ProvidersResponse,backend/app/api/api_v1/endpoints/auth.py,131,134,4,4,Python,prod
e6b897804387ef57c25bfdd4c313367bf82f18f0,class,MFASetupResponse,backend/app/api/api_v1/endpoints/auth.py,379,384,6,6,Python,prod
0105019922a851c5753b4a4f8dcf6eaf9adbd9d7,class,MFAVerifyRequest,backend/app/api/api_v1/endpoints/auth.py,387,389,3,3,Python,prod
2257aa24785ee99f04510fe3be82709630fb3246,class,MFAStatusResponse,backend/app/api/api_v1/endpoints/auth.py,392,396,5,5,Python,prod
877031bc888f527938491b197fc7f2b7db3bf570,class,MFABackupCodesResponse,backend/app/api/api_v1/endpoints/auth.py,399,401,3,3,Python,prod
ff03ed8a38b10d8926e4987eee0a09d3f304db26,class,MFALoginRequired,backend/app/api/api_v1/endpoints/auth.py,404,407,4,4,Python,prod
2aa05f53c325466258a9576ca9e5c4fb5ebedf62,class,AnalyticsEvent,backend/app/api/api_v1/endpoints/usage_analytics.py,12,18,7,7,Python,prod
b4b5a2003c07dcef0a919b4c8e34805746146010,class,OnboardingMetrics,backend/app/api/api_v1/endpoints/usage_analytics.py,21,30,10,10,Python,prod
82cf17a13acad4fc76d432306e5be8a4943aa69b,class,UsageMetrics,backend/app/api/api_v1/endpoints/usage_analytics.py,33,38,6,6,Python,prod
4e1af8f290ea2d6ee0ac6155e01ff917cd8c896c,class,CacheInvalidator,backend/app/core/cache_enhanced.py,1017,1072,56,45,Python,prod
ac25a0e09013f1f5a60d435dd964739e9918e43c,class,CacheKeyBuilder,backend/app/core/cache_enhanced.py,121,183,63,52,Python,prod
4baada0a256fb437533359ea53d08240d29e8915,class,AnalyticsCacheKeys,backend/app/core/cache_enhanced.py,190,286,97,84,Python,prod
d443e32bdb371f491325c0de5468cd7a1cc926ca,class,CapacityCacheKeys,backend/app/core/cache_enhanced.py,289,310,22,18,Python,prod
951a75273c6532004bdc6232fc20d2713bc737d9,class,TraceabilityCacheKeys,backend/app/core/cache_enhanced.py,313,372,60,54,Python,prod
24f3e088ebedf255160e32c9744e1e58addb3ce7,class,TasksCacheKeys,backend/app/core/cache_enhanced.py,375,395,21,20,Python,prod
05f4ce645ab12d643b540fec2cc4032689b5a380,class,JiraCacheKeys,backend/app/core/cache_enhanced.py,398,432,35,29,Python,prod
28f2ce7c4e06d2aea2552a57b1936e4293c545c0,class,QualityCacheKeys,backend/app/core/cache_enhanced.py,435,478,44,38,Python,prod
58442462dd8943100ccf4cfd7719afaa5d9f68b8,class,EnhancedCacheService,backend/app/core/cache_enhanced.py,485,741,257,215,Python,prod
60346b49a559df2634461aa350c1655258281720,class,CacheTier,backend/app/core/cache_enhanced.py,50,71,22,17,Python,prod
ef56c9f584461fd090e1ee51aac509b65de79fa5,class,CacheTierConfig,backend/app/core/cache_enhanced.py,75,80,6,6,Python,prod
3229e09a8ce38e0fb5ecc606d530deedf9a9168b,class,CacheWarmer,backend/app/core/cache_enhanced.py,943,990,48,41,Python,prod
a4f681b55a3a32fbed147dca0b49a3d1a457d9e7,class,Settings,backend/app/core/config.py,7,189,183,149,Python,prod
fb6d9ae56f5c617276a62a9b2b94486c308f3650,class,Base,backend/app/core/database.py,13,14,2,2,Python,prod
e3db3239186906ef55bb3e4750d3b2cebf7a9c7e,class,MetricsRegistry,backend/app/core/metrics.py,9,47,39,34,Python,prod
b3c47ae5b612ed9bead16b315ff057e87d4ee86d,class,MFAError,backend/app/core/mfa.py,33,39,7,6,Python,prod
0528a1dc245736a169ed521c59eebfbd1bb5c005,class,MFASetupData,backend/app/core/mfa.py,43,48,6,6,Python,prod
5a91c2ea72ca069c7e98b5680d977e7143c6bd9c,class,QueryContextMiddleware,backend/app/core/middleware.py,12,31,20,15,Python,prod
65194b30803d69aa0974ed6a00651fea6c434185,class,CancelMetricsMiddleware,backend/app/core/middleware.py,34,66,33,28,Python,prod
413678a055503d67b43df9e129e38a25ad58c00f,class,Connections,backend/app/core/notifications.py,8,32,25,22,Python,prod
f1ad6d741129d1aa0273ebf8e7f582722f40a736,class,MicrosoftOAuth2Client,backend/app/core/oauth.py,156,277,122,99,Python,prod
c28f21532fe02d0698600184c8a3df4d519a9da3,class,OAuth2Error,backend/app/core/oauth.py,21,27,7,6,Python,prod
ca8a87abe64b97f2e725d39d766d639190eb3095,class,OAuth2UserInfo,backend/app/core/oauth.py,31,38,8,8,Python,prod
186cc336d90c649b7d2d85305540b4c7c3d9c55f,class,GoogleOAuth2Client,backend/app/core/oauth.py,41,153,113,92,Python,prod
209d994eee80ce4ec30b759705a8764f3e4e7320,class,_BreakerState,backend/app/core/rate_limiter.py,33,37,5,5,Python,prod
f88361d598dd10b61e95246871f3a29aa1fa2d16,class,CircuitBreaker,backend/app/core/rate_limiter.py,40,109,70,59,Python,prod
4be7d48560076b0cb4a719f05a841a60a96d4056,class,WebhookRateLimiter,backend/app/core/rate_limiter.py,9,29,21,18,Python,prod
06f56aee15202f77782bb65c6691846c5602744f,class,BusinessValueAudit,backend/app/models/audit.py,6,19,14,13,Python,prod
f461f873a8091d047c0acaab384466040971b882,class,CapacitySettings,backend/app/models/capacity.py,11,50,40,31,Python,prod
ecafc5ca93c3a65d67ee2485e78c6d515a6de7fa,class,TeamHealthCheck,backend/app/models/capacity.py,53,95,43,34,Python,prod
3b37031c4dbccb2a4f943d67dda696e9d093a13b,class,CFDSnapshot,backend/app/models/capacity.py,98,135,38,30,Python,prod
d5793c3b49abefc5e83bdbdf037d4d4e7dc68e2f,class,ConfluencePage,backend/app/models/confluence.py,6,22,17,15,Python,prod
db8da00649ffdc38c869acf35a1cb82e55e82915,class,Commit,backend/app/models/git.py,22,32,11,10,Python,prod
7f20921cbe6a33cfa4b4b10e1b3b6fb175b690ca,class,PullRequest,backend/app/models/git.py,35,60,26,25,Python,prod
75eca74df4f3e4fcd965b6c584447c41e99cbd93,class,Repository,backend/app/models/git.py,7,19,13,11,Python,prod
697807f6550bbf68ba9239eacc32d95b93078580,class,JiraFieldMapping,backend/app/models/jira_field_mapping.py,6,21,16,14,Python,prod
ab474c15da6855b76d4274d20389a31aede4e56f,class,Project,backend/app/models/project.py,7,28,22,20,Python,prod
bc9ca037ab008a1301d91cf9454050fc437f836f,class,ProjectRepository,backend/app/models/project_repository.py,7,19,13,11,Python,prod
452116361dae99eee1b06b592d632fb49e224179,class,EscapedDefect,backend/app/models/quality.py,22,70,49,38,Python,prod
ea24c02c31d390fa2b91ee6ef73baf191bbd2783,class,QualityGateHistory,backend/app/models/quality.py,6,19,14,13,Python,prod
3b1d4c1676b298c6b329d54b1e287b6b971b756b,class,DefectMetrics,backend/app/models/quality.py,73,118,46,37,Python,prod
92e8b4d84072601b8dcad139a76320e272166f94,class,Permissions,backend/app/models/rbac.py,101,159,59,49,Python,prod
fbab08887aa2639868ff4c3051dcff253d5cb05c,class,Role,backend/app/models/rbac.py,32,97,66,56,Python,prod
a4f9d102fc69eb2437d2825a4d79f86b9acbcfca,class,IntegrationSetting,backend/app/models/settings.py,6,15,10,9,Python,prod
34dbe6ac39027299ad899a85753b01ed6d272d2a,class,WorkLog,backend/app/models/sprint.py,37,54,18,14,Python,prod
44d6539e4809083d5e16fc9dd72e6973521635bd,class,SprintSnapshot,backend/app/models/sprint.py,57,67,11,10,Python,prod
7a9599b947e7b6a300f035cc9d6859b436c48586,class,Sprint,backend/app/models/sprint.py,7,34,28,23,Python,prod
2eab0ab1e8d6cd5721df8b105ecc36c6cec3c2a9,class,Task,backend/app/models/task.py,7,51,45,38,Python,prod
2b890d9f4169271ee2dbdcdbef698cbaf17795c0,class,ComponentCoverage,backend/app/models/testing.py,139,174,36,29,Python,prod
0ca5662dbc2b9afe85acb4329ceecf07b66faa99,class,CoverageReport,backend/app/models/testing.py,25,35,11,10,Python,prod
88280f4516a01986889d5ec754ab4ab8ba3e82be,class,FileCoverage,backend/app/models/testing.py,38,50,13,12,Python,prod
d1fffa032c4777845af18a2fa0bc06856776a30b,class,FlakyTest,backend/app/models/testing.py,53,90,38,31,Python,prod
7f6f941607bebfd2fb88bf38b60975d131b4e104,class,TestResult,backend/app/models/testing.py,8,22,15,14,Python,prod
6188b7841966495b3761e334fa981be70c9628cc,class,CoverageHistory,backend/app/models/testing.py,93,136,44,36,Python,prod
0c638e9250f3cc939c342f2e10f6438624ce06df,class,LegacyMapping,backend/app/models/traceability.py,106,113,8,7,Python,prod
cf1e0b1dff0f53e3d48fab67b72008bdcd7fad87,class,AuditLog,backend/app/models/traceability.py,116,126,11,10,Python,prod
cf672517c805d284a0be1a2e89229d48767f76e0,class,SuggestedLink,backend/app/models/traceability.py,129,161,33,27,Python,prod
1dbee2f627bb8cd8c18acc9bc12e6553ff3d7d97,class,Artifact,backend/app/models/traceability.py,20,47,28,22,Python,prod
400a54d3a31ac5a5094008fbb8cd916a1720daff,class,ArtifactLink,backend/app/models/traceability.py,50,71,22,18,Python,prod
84a09587cc3795fadcc52ec4478a90cc9ce83516,class,Source,backend/app/models/traceability.py,74,87,14,12,Python,prod
2f8d66ec91ae848c39df33fae582809602d31709,class,SyncState,backend/app/models/traceability.py,90,103,14,12,Python,prod
2ee7b579d6898b223b4dcee58a22918d058055d2,class,TraceabilityRuleExecution,backend/app/models/traceability_rule.py,55,85,31,24,Python,prod
d39fae7845918ce66ac8c867744be91dec578a58,class,TraceabilityRule,backend/app/models/traceability_rule.py,7,52,46,37,Python,prod
e978d24445cf308a21865eccbff8d7144d2566c7,class,User,backend/app/models/user.py,7,95,89,71,Python,prod
